time,flex,add,introt,ant,prox,lat
0.621,61.669,7.659,12.370,4.944,0.940,-1.416
0.631,61.525,7.649,12.402,4.926,0.940,-1.446
0.641,61.379,7.638,12.433,4.906,0.940,-1.476
0.651,61.232,7.625,12.464,4.886,0.939,-1.507
0.661,61.083,7.611,12.493,4.864,0.939,-1.537
0.671,60.933,7.597,12.522,4.842,0.939,-1.569
0.681,60.781,7.581,12.550,4.818,0.938,-1.600
0.691,60.628,7.564,12.577,4.793,0.937,-1.631
0.701,60.473,7.547,12.604,4.767,0.936,-1.663
0.711,60.317,7.528,12.629,4.740,0.935,-1.695
0.721,60.160,7.508,12.654,4.712,0.934,-1.728
0.731,60.001,7.487,12.678,4.683,0.932,-1.760
0.741,59.841,7.465,12.701,4.653,0.930,-1.793
0.751,59.680,7.442,12.723,4.622,0.929,-1.826
0.761,59.517,7.417,12.745,4.590,0.927,-1.859
0.771,59.353,7.392,12.765,4.557,0.925,-1.892
0.781,59.188,7.366,12.785,4.522,0.922,-1.925
0.791,59.021,7.338,12.803,4.487,0.920,-1.959
0.801,58.854,7.310,12.821,4.451,0.918,-1.993
0.811,58.685,7.280,12.839,4.414,0.915,-2.027
0.821,58.514,7.250,12.855,4.376,0.912,-2.061
0.831,58.343,7.218,12.870,4.337,0.909,-2.095
0.841,58.171,7.185,12.885,4.297,0.906,-2.129
0.851,57.997,7.151,12.898,4.256,0.903,-2.164
0.861,57.822,7.116,12.911,4.214,0.899,-2.199
0.871,57.646,7.080,12.923,4.171,0.896,-2.233
0.881,57.469,7.043,12.934,4.127,0.892,-2.268
0.891,57.292,7.005,12.945,4.083,0.888,-2.303
0.901,57.113,6.965,12.954,4.037,0.884,-2.338
0.911,56.933,6.925,12.962,3.991,0.880,-2.374
0.921,56.752,6.884,12.970,3.944,0.876,-2.409
0.931,56.570,6.841,12.977,3.896,0.872,-2.444
0.941,56.387,6.798,12.983,3.847,0.867,-2.480
0.951,56.203,6.753,12.988,3.798,0.863,-2.515
0.961,56.018,6.708,12.992,3.748,0.858,-2.551
0.971,55.832,6.661,12.995,3.697,0.853,-2.586
0.981,55.646,6.613,12.998,3.645,0.848,-2.622
0.991,55.459,6.565,12.999,3.592,0.843,-2.657
1.001,55.270,6.515,13.000,3.539,0.838,-2.693
1.011,55.081,6.464,13.000,3.486,0.833,-2.729
1.021,54.892,6.413,12.999,3.431,0.827,-2.764
1.031,54.701,6.360,12.997,3.376,0.821,-2.800
1.041,54.510,6.306,12.994,3.321,0.816,-2.836
1.051,54.318,6.252,12.990,3.264,0.810,-2.871
1.061,54.125,6.196,12.986,3.208,0.804,-2.907
1.071,53.932,6.140,12.980,3.150,0.798,-2.943
1.081,53.738,6.082,12.974,3.093,0.792,-2.978
1.091,53.543,6.024,12.967,3.034,0.786,-3.013
1.101,53.348,5.964,12.959,2.976,0.779,-3.049
1.111,53.152,5.904,12.950,2.917,0.773,-3.084
1.121,52.955,5.843,12.940,2.857,0.766,-3.119
1.131,52.758,5.780,12.930,2.797,0.759,-3.155
1.141,52.561,5.717,12.918,2.737,0.753,-3.190
1.151,52.363,5.653,12.906,2.676,0.746,-3.225
1.161,52.164,5.589,12.893,2.615,0.739,-3.259
1.171,51.965,5.523,12.879,2.554,0.732,-3.294
1.181,51.766,5.456,12.864,2.492,0.724,-3.329
1.191,51.566,5.389,12.848,2.430,0.717,-3.363
1.201,51.365,5.321,12.832,2.368,0.710,-3.397
1.211,51.165,5.252,12.814,2.306,0.702,-3.431
1.221,50.964,5.182,12.796,2.243,0.695,-3.465
1.231,50.762,5.111,12.777,2.181,0.687,-3.499
1.241,50.561,5.040,12.757,2.118,0.679,-3.533
1.251,50.359,4.968,12.736,2.055,0.671,-3.566
1.261,50.156,4.895,12.714,1.992,0.663,-3.599
1.271,49.954,4.821,12.692,1.929,0.655,-3.632
1.281,49.751,4.746,12.668,1.866,0.647,-3.665
1.291,49.548,4.671,12.644,1.803,0.639,-3.698
1.301,49.345,4.595,12.619,1.740,0.631,-3.730
1.311,49.141,4.519,12.593,1.677,0.623,-3.762
1.321,48.938,4.442,12.566,1.614,0.614,-3.794
1.331,48.734,4.364,12.539,1.551,0.606,-3.825
1.341,48.530,4.285,12.511,1.489,0.597,-3.857
1.351,48.326,4.206,12.481,1.426,0.588,-3.888
1.361,48.122,4.127,12.451,1.364,0.580,-3.919
1.371,47.918,4.046,12.421,1.302,0.571,-3.949
1.381,47.714,3.965,12.389,1.240,0.562,-3.979
1.391,47.510,3.884,12.357,1.178,0.553,-4.009
1.401,47.306,3.802,12.323,1.117,0.544,-4.039
1.411,47.102,3.719,12.289,1.055,0.535,-4.068
1.421,46.898,3.636,12.254,0.994,0.526,-4.097
1.431,46.694,3.553,12.219,0.934,0.517,-4.125
1.441,46.490,3.469,12.182,0.874,0.508,-4.153
1.451,46.286,3.384,12.145,0.814,0.498,-4.181
1.461,46.083,3.299,12.107,0.755,0.489,-4.209
1.471,45.879,3.214,12.069,0.696,0.480,-4.236
1.481,45.676,3.128,12.029,0.637,0.470,-4.263
1.491,45.473,3.042,11.989,0.579,0.461,-4.289
1.502,45.270,2.956,11.948,0.521,0.451,-4.315
1.512,45.067,2.869,11.906,0.464,0.442,-4.341
1.522,44.864,2.781,11.863,0.408,0.432,-4.366
1.532,44.662,2.694,11.820,0.352,0.422,-4.391
1.542,44.460,2.606,11.776,0.296,0.413,-4.415
1.552,44.259,2.518,11.731,0.242,0.403,-4.439
1.562,44.057,2.429,11.686,0.187,0.393,-4.462
1.572,43.856,2.341,11.639,0.134,0.383,-4.485
1.582,43.656,2.252,11.592,0.081,0.374,-4.508
1.592,43.455,2.163,11.545,0.028,0.364,-4.530
1.602,43.255,2.073,11.496,-0.023,0.354,-4.552
1.612,43.056,1.984,11.447,-0.074,0.344,-4.573
1.622,42.857,1.894,11.397,-0.125,0.334,-4.594
1.632,42.658,1.804,11.346,-0.174,0.324,-4.615
1.642,42.460,1.715,11.295,-0.223,0.314,-4.634
1.652,42.262,1.625,11.243,-0.271,0.304,-4.654
1.662,42.065,1.534,11.191,-0.318,0.293,-4.673
1.672,41.868,1.444,11.137,-0.365,0.283,-4.691
1.682,41.672,1.354,11.083,-0.411,0.273,-4.709
1.692,41.476,1.264,11.028,-0.455,0.263,-4.727
1.702,41.281,1.173,10.973,-0.500,0.253,-4.744
1.712,41.086,1.083,10.917,-0.543,0.242,-4.760
1.722,40.892,0.993,10.860,-0.585,0.232,-4.776
1.732,40.699,0.903,10.803,-0.627,0.222,-4.791
1.742,40.506,0.813,10.745,-0.668,0.212,-4.806
1.752,40.314,0.722,10.686,-0.708,0.201,-4.821
1.762,40.123,0.632,10.627,-0.747,0.191,-4.834
1.772,39.932,0.543,10.567,-0.785,0.181,-4.848
1.782,39.742,0.453,10.507,-0.822,0.171,-4.860
1.792,39.552,0.363,10.446,-0.858,0.160,-4.873
1.802,39.364,0.274,10.384,-0.894,0.150,-4.884
1.812,39.176,0.185,10.322,-0.928,0.140,-4.895
1.822,38.989,0.096,10.259,-0.962,0.129,-4.906
1.832,38.802,0.007,10.195,-0.994,0.119,-4.916
1.842,38.616,-0.082,10.131,-1.026,0.109,-4.926
1.852,38.432,-0.170,10.066,-1.057,0.098,-4.934
1.862,38.247,-0.258,10.001,-1.087,0.088,-4.943
1.872,38.064,-0.346,9.935,-1.116,0.078,-4.951
1.882,37.882,-0.433,9.869,-1.144,0.067,-4.958
1.892,37.700,-0.520,9.802,-1.171,0.057,-4.964
1.902,37.519,-0.607,9.734,-1.197,0.047,-4.971
1.912,37.339,-0.693,9.666,-1.222,0.036,-4.976
1.922,37.160,-0.779,9.598,-1.247,0.026,-4.981
1.932,36.982,-0.865,9.529,-1.270,0.016,-4.985
1.942,36.805,-0.950,9.459,-1.292,0.006,-4.989
1.952,36.629,-1.035,9.389,-1.314,-0.005,-4.992
1.962,36.453,-1.119,9.319,-1.334,-0.015,-4.995
1.972,36.279,-1.203,9.248,-1.354,-0.025,-4.997
1.982,36.105,-1.286,9.176,-1.373,-0.035,-4.999
1.992,35.933,-1.369,9.104,-1.391,-0.046,-5.000
2.002,35.761,-1.451,9.031,-1.408,-0.056,-5.000
2.012,35.590,-1.533,8.958,-1.424,-0.066,-5.000
2.022,35.421,-1.614,8.885,-1.439,-0.076,-4.999
2.032,35.252,-1.695,8.811,-1.453,-0.086,-4.998
2.042,35.085,-1.775,8.737,-1.466,-0.096,-4.996
2.052,34.918,-1.855,8.662,-1.479,-0.106,-4.993
2.062,34.753,-1.934,8.587,-1.490,-0.116,-4.990
2.072,34.588,-2.012,8.511,-1.501,-0.126,-4.986
2.082,34.425,-2.090,8.435,-1.511,-0.136,-4.982
2.092,34.262,-2.167,8.358,-1.520,-0.146,-4.977
2.102,34.101,-2.243,8.281,-1.528,-0.156,-4.972
2.112,33.941,-2.319,8.204,-1.536,-0.166,-4.966
2.122,33.782,-2.394,8.127,-1.543,-0.176,-4.959
2.132,33.624,-2.469,8.048,-1.548,-0.186,-4.952
2.142,33.467,-2.542,7.970,-1.554,-0.196,-4.944
2.152,33.311,-2.615,7.891,-1.558,-0.205,-4.936
2.162,33.157,-2.687,7.812,-1.562,-0.215,-4.927
2.172,33.003,-2.759,7.733,-1.564,-0.225,-4.918
2.182,32.851,-2.830,7.653,-1.567,-0.235,-4.908
2.192,32.700,-2.900,7.573,-1.568,-0.244,-4.898
2.202,32.550,-2.969,7.492,-1.569,-0.254,-4.887
2.212,32.401,-3.037,7.411,-1.569,-0.263,-4.875
2.222,32.253,-3.105,7.330,-1.568,-0.273,-4.863
2.232,32.106,-3.172,7.249,-1.567,-0.282,-4.850
2.242,31.961,-3.238,7.167,-1.565,-0.292,-4.837
2.252,31.817,-3.303,7.085,-1.563,-0.301,-4.824
2.262,31.674,-3.367,7.003,-1.560,-0.310,-4.809
2.272,31.532,-3.431,6.920,-1.557,-0.320,-4.795
2.282,31.392,-3.493,6.837,-1.552,-0.329,-4.779
2.292,31.252,-3.555,6.754,-1.548,-0.338,-4.763
2.302,31.114,-3.616,6.671,-1.543,-0.347,-4.747
2.312,30.977,-3.676,6.587,-1.537,-0.356,-4.730
2.322,30.842,-3.735,6.503,-1.531,-0.366,-4.713
2.332,30.707,-3.793,6.419,-1.525,-0.375,-4.695
2.342,30.574,-3.851,6.335,-1.518,-0.384,-4.677
2.352,30.442,-3.907,6.251,-1.510,-0.392,-4.658
2.362,30.311,-3.963,6.166,-1.503,-0.401,-4.639
2.372,30.182,-4.017,6.081,-1.495,-0.410,-4.619
2.382,30.053,-4.071,5.996,-1.486,-0.419,-4.599
2.392,29.926,-4.123,5.911,-1.477,-0.428,-4.578
2.402,29.800,-4.175,5.825,-1.468,-0.436,-4.557
2.412,29.676,-4.226,5.740,-1.459,-0.445,-4.535
2.422,29.553,-4.276,5.654,-1.449,-0.453,-4.513
2.432,29.431,-4.325,5.568,-1.440,-0.462,-4.491
2.442,29.310,-4.373,5.482,-1.430,-0.470,-4.468
2.452,29.190,-4.420,5.396,-1.420,-0.479,-4.444
2.462,29.072,-4.466,5.310,-1.409,-0.487,-4.421
2.472,28.955,-4.511,5.223,-1.399,-0.496,-4.396
2.482,28.840,-4.555,5.137,-1.388,-0.504,-4.372
2.492,28.725,-4.598,5.050,-1.377,-0.512,-4.347
2.503,28.612,-4.641,4.963,-1.367,-0.520,-4.321
2.513,28.500,-4.682,4.876,-1.356,-0.528,-4.295
2.523,28.390,-4.722,4.790,-1.345,-0.536,-4.269
2.533,28.280,-4.761,4.703,-1.334,-0.544,-4.242
2.543,28.172,-4.800,4.616,-1.323,-0.552,-4.215
2.553,28.065,-4.837,4.529,-1.313,-0.560,-4.188
2.563,27.960,-4.873,4.441,-1.302,-0.568,-4.160
2.573,27.856,-4.908,4.354,-1.291,-0.575,-4.132
2.583,27.753,-4.943,4.267,-1.281,-0.583,-4.104
2.593,27.651,-4.976,4.180,-1.270,-0.591,-4.075
2.603,27.550,-5.009,4.093,-1.260,-0.598,-4.046
2.613,27.451,-5.040,4.005,-1.250,-0.606,-4.017
2.623,27.353,-5.071,3.918,-1.240,-0.613,-3.987
2.633,27.257,-5.100,3.831,-1.231,-0.621,-3.957
2.643,27.161,-5.129,3.744,-1.221,-0.628,-3.927
2.653,27.067,-5.156,3.656,-1.212,-0.635,-3.896
2.663,26.974,-5.183,3.569,-1.203,-0.642,-3.865
2.673,26.882,-5.208,3.482,-1.195,-0.649,-3.834
2.683,26.792,-5.233,3.395,-1.187,-0.657,-3.803
2.693,26.703,-5.257,3.308,-1.179,-0.664,-3.771
2.703,26.615,-5.280,3.221,-1.171,-0.671,-3.739
2.713,26.528,-5.301,3.134,-1.164,-0.677,-3.707
2.723,26.443,-5.322,3.047,-1.157,-0.684,-3.674
2.733,26.358,-5.342,2.960,-1.151,-0.691,-3.642
2.743,26.275,-5.361,2.873,-1.145,-0.698,-3.609
2.753,26.194,-5.379,2.787,-1.140,-0.704,-3.576
2.763,26.113,-5.397,2.700,-1.135,-0.711,-3.543
2.773,26.034,-5.413,2.614,-1.131,-0.718,-3.509
2.783,25.955,-5.428,2.528,-1.127,-0.724,-3.476
2.793,25.878,-5.443,2.441,-1.124,-0.731,-3.442
2.803,25.803,-5.456,2.355,-1.121,-0.737,-3.408
2.813,25.728,-5.469,2.269,-1.119,-0.743,-3.374
2.823,25.654,-5.481,2.184,-1.117,-0.750,-3.339
2.833,25.582,-5.492,2.098,-1.116,-0.756,-3.305
2.843,25.511,-5.502,2.012,-1.116,-0.762,-3.270
2.853,25.441,-5.511,1.927,-1.116,-0.768,-3.236
2.863,25.372,-5.520,1.842,-1.117,-0.774,-3.201
2.873,25.305,-5.527,1.757,-1.118,-0.780,-3.166
2.883,25.238,-5.534,1.672,-1.120,-0.786,-3.131
2.893,25.173,-5.540,1.588,-1.123,-0.792,-3.096
2.903,25.109,-5.545,1.503,-1.127,-0.798,-3.061
2.913,25.046,-5.550,1.419,-1.131,-0.803,-3.026
2.923,24.984,-5.553,1.335,-1.136,-0.809,-2.990
2.933,24.923,-5.556,1.251,-1.142,-0.815,-2.955
2.943,24.863,-5.558,1.167,-1.149,-0.820,-2.920
2.953,24.804,-5.559,1.084,-1.156,-0.826,-2.884
2.963,24.747,-5.560,1.001,-1.164,-0.831,-2.849
2.973,24.690,-5.560,0.918,-1.173,-0.837,-2.813
2.983,24.635,-5.559,0.835,-1.182,-0.842,-2.778
2.993,24.581,-5.557,0.753,-1.193,-0.847,-2.742
3.003,24.527,-5.555,0.671,-1.204,-0.853,-2.707
3.013,24.475,-5.552,0.589,-1.216,-0.858,-2.671
3.023,24.424,-5.549,0.507,-1.229,-0.863,-2.636
3.033,24.374,-5.544,0.426,-1.242,-0.868,-2.600
3.043,24.324,-5.539,0.345,-1.257,-0.873,-2.565
3.053,24.276,-5.534,0.264,-1.272,-0.878,-2.529
3.063,24.229,-5.528,0.184,-1.288,-0.883,-2.494
3.073,24.183,-5.521,0.103,-1.305,-0.888,-2.459
3.083,24.138,-5.513,0.023,-1.322,-0.893,-2.424
3.093,24.093,-5.505,-0.056,-1.341,-0.898,-2.389
3.103,24.050,-5.497,-0.135,-1.360,-0.903,-2.354
3.113,24.008,-5.488,-0.214,-1.380,-0.908,-2.319
3.123,23.966,-5.478,-0.293,-1.401,-0.912,-2.284
3.133,23.926,-5.468,-0.371,-1.423,-0.917,-2.249
3.143,23.886,-5.458,-0.449,-1.446,-0.921,-2.214
3.153,23.848,-5.446,-0.527,-1.470,-0.926,-2.180
3.163,23.810,-5.435,-0.604,-1.494,-0.931,-2.146
3.173,23.773,-5.423,-0.681,-1.519,-0.935,-2.111
3.183,23.737,-5.410,-0.758,-1.545,-0.940,-2.077
3.193,23.702,-5.397,-0.834,-1.572,-0.944,-2.043
3.203,23.667,-5.384,-0.910,-1.600,-0.948,-2.010
3.213,23.634,-5.370,-0.985,-1.628,-0.953,-1.976
3.223,23.601,-5.356,-1.061,-1.657,-0.957,-1.942
3.233,23.570,-5.341,-1.135,-1.687,-0.961,-1.909
3.243,23.539,-5.326,-1.210,-1.718,-0.965,-1.876
3.253,23.508,-5.311,-1.284,-1.750,-0.970,-1.843
3.263,23.479,-5.296,-1.357,-1.782,-0.974,-1.810
3.273,23.450,-5.280,-1.431,-1.816,-0.978,-1.778
3.283,23.423,-5.264,-1.503,-1.849,-0.982,-1.746
3.293,23.395,-5.247,-1.576,-1.884,-0.986,-1.714
3.303,23.369,-5.230,-1.648,-1.920,-0.990,-1.682
3.313,23.343,-5.213,-1.719,-1.956,-0.994,-1.650
3.323,23.318,-5.196,-1.791,-1.993,-0.998,-1.619
3.333,23.294,-5.179,-1.861,-2.030,-1.002,-1.588
3.343,23.271,-5.161,-1.932,-2.068,-1.006,-1.557
3.353,23.248,-5.143,-2.002,-2.107,-1.010,-1.526
3.363,23.226,-5.125,-2.071,-2.147,-1.013,-1.496
3.373,23.204,-5.107,-2.140,-2.187,-1.017,-1.465
3.383,23.183,-5.089,-2.209,-2.228,-1.021,-1.436
3.393,23.163,-5.070,-2.277,-2.270,-1.025,-1.406
3.403,23.143,-5.052,-2.345,-2.312,-1.029,-1.377
3.413,23.124,-5.033,-2.412,-2.354,-1.032,-1.348
3.423,23.106,-5.014,-2.479,-2.398,-1.036,-1.319
3.433,23.088,-4.996,-2.545,-2.441,-1.040,-1.290
3.443,23.071,-4.977,-2.611,-2.486,-1.043,-1.262
3.453,23.054,-4.958,-2.677,-2.531,-1.047,-1.234
3.463,23.038,-4.939,-2.742,-2.576,-1.051,-1.207
3.473,23.022,-4.920,-2.806,-2.622,-1.054,-1.179
3.483,23.007,-4.901,-2.870,-2.668,-1.058,-1.152
3.493,22.992,-4.882,-2.934,-2.715,-1.062,-1.126
3.504,22.978,-4.864,-2.997,-2.762,-1.065,-1.099
3.514,22.964,-4.845,-3.060,-2.810,-1.069,-1.073
3.524,22.951,-4.826,-3.122,-2.858,-1.072,-1.047
3.534,22.938,-4.807,-3.184,-2.906,-1.076,-1.022
3.544,22.926,-4.789,-3.245,-2.955,-1.079,-0.997
3.554,22.914,-4.771,-3.306,-3.004,-1.083,-0.972
3.564,22.902,-4.752,-3.366,-3.053,-1.086,-0.948
3.574,22.891,-4.734,-3.426,-3.103,-1.090,-0.924
3.584,22.880,-4.716,-3.485,-3.153,-1.094,-0.900
3.594,22.870,-4.699,-3.544,-3.203,-1.097,-0.877
3.604,22.860,-4.681,-3.602,-3.253,-1.101,-0.854
3.614,22.850,-4.664,-3.660,-3.304,-1.104,-0.831
3.624,22.841,-4.646,-3.717,-3.355,-1.108,-0.809
3.634,22.832,-4.629,-3.774,-3.406,-1.111,-0.786
3.644,22.823,-4.613,-3.831,-3.456,-1.115,-0.765
3.654,22.815,-4.596,-3.886,-3.508,-1.118,-0.743
3.664,22.807,-4.580,-3.942,-3.559,-1.122,-0.723
3.674,22.799,-4.564,-3.996,-3.610,-1.125,-0.702
3.684,22.791,-4.549,-4.051,-3.661,-1.129,-0.682
3.694,22.784,-4.533,-4.105,-3.712,-1.132,-0.662
3.704,22.777,-4.518,-4.158,-3.764,-1.136,-0.642
3.714,22.770,-4.504,-4.211,-3.815,-1.139,-0.623
3.724,22.763,-4.489,-4.263,-3.866,-1.143,-0.604
3.734,22.757,-4.475,-4.315,-3.917,-1.146,-0.586
3.744,22.750,-4.462,-4.366,-3.968,-1.150,-0.567
3.754,22.744,-4.449,-4.417,-4.018,-1.154,-0.550
3.764,22.738,-4.436,-4.467,-4.069,-1.157,-0.532
3.774,22.732,-4.423,-4.516,-4.119,-1.161,-0.515
3.784,22.727,-4.411,-4.566,-4.169,-1.164,-0.498
3.794,22.721,-4.400,-4.614,-4.219,-1.168,-0.482
3.804,22.715,-4.388,-4.662,-4.269,-1.172,-0.466
3.814,22.710,-4.378,-4.710,-4.318,-1.176,-0.450
3.824,22.705,-4.367,-4.757,-4.367,-1.179,-0.435
3.834,22.699,-4.358,-4.804,-4.416,-1.183,-0.420
3.844,22.694,-4.348,-4.850,-4.464,-1.187,-0.405
3.854,22.689,-4.339,-4.896,-4.512,-1.191,-0.391
3.864,22.684,-4.331,-4.941,-4.560,-1.194,-0.377
3.874,22.679,-4.323,-4.985,-4.607,-1.198,-0.363
3.884,22.674,-4.316,-5.029,-4.654,-1.202,-0.350
3.894,22.669,-4.309,-5.073,-4.700,-1.206,-0.337
3.904,22.663,-4.302,-5.116,-4.746,-1.210,-0.324
3.914,22.658,-4.297,-5.158,-4.791,-1.214,-0.312
3.924,22.653,-4.291,-5.200,-4.835,-1.218,-0.300
3.934,22.648,-4.286,-5.242,-4.880,-1.222,-0.289
3.944,22.643,-4.282,-5.283,-4.923,-1.226,-0.277
3.954,22.637,-4.279,-5.323,-4.966,-1.230,-0.266
3.964,22.632,-4.275,-5.363,-5.008,-1.234,-0.256
3.974,22.626,-4.273,-5.402,-5.050,-1.238,-0.245
3.984,22.621,-4.271,-5.441,-5.091,-1.242,-0.235
3.994,22.615,-4.270,-5.480,-5.131,-1.247,-0.225
4.004,22.609,-4.269,-5.517,-5.170,-1.251,-0.216
4.014,22.603,-4.268,-5.555,-5.209,-1.255,-0.207
4.024,22.597,-4.269,-5.592,-5.247,-1.260,-0.198
4.034,22.590,-4.270,-5.628,-5.284,-1.264,-0.189
4.044,22.584,-4.271,-5.664,-5.321,-1.268,-0.181
4.054,22.577,-4.273,-5.699,-5.356,-1.273,-0.173
4.064,22.570,-4.276,-5.734,-5.391,-1.277,-0.165
4.074,22.563,-4.280,-5.769,-5.425,-1.282,-0.158
4.084,22.556,-4.284,-5.802,-5.458,-1.286,-0.151
4.094,22.548,-4.288,-5.836,-5.490,-1.291,-0.144
4.104,22.541,-4.293,-5.869,-5.522,-1.296,-0.137
4.114,22.533,-4.299,-5.901,-5.552,-1.301,-0.130
4.124,22.524,-4.306,-5.933,-5.581,-1.305,-0.124
4.134,22.516,-4.313,-5.964,-5.610,-1.310,-0.118
4.144,22.507,-4.320,-5.995,-5.638,-1.315,-0.113
4.154,22.498,-4.329,-6.026,-5.664,-1.320,-0.107
4.164,22.489,-4.337,-6.056,-5.690,-1.325,-0.102
4.174,22.479,-4.347,-6.085,-5.714,-1.330,-0.097
4.184,22.469,-4.357,-6.114,-5.738,-1.335,-0.092
4.194,22.459,-4.368,-6.143,-5.761,-1.340,-0.088
4.204,22.449,-4.379,-6.171,-5.782,-1.346,-0.083
4.214,22.438,-4.391,-6.198,-5.803,-1.351,-0.079
4.224,22.427,-4.404,-6.225,-5.822,-1.356,-0.075
4.234,22.415,-4.417,-6.252,-5.841,-1.362,-0.071
4.244,22.403,-4.431,-6.278,-5.858,-1.367,-0.068
4.254,22.391,-4.445,-6.304,-5.874,-1.373,-0.064
4.264,22.378,-4.460,-6.329,-5.890,-1.378,-0.061
4.274,22.365,-4.476,-6.354,-5.904,-1.384,-0.058
4.284,22.352,-4.492,-6.378,-5.917,-1.390,-0.055
4.294,22.338,-4.509,-6.402,-5.929,-1.395,-0.052
4.304,22.324,-4.526,-6.426,-5.940,-1.401,-0.049
4.314,22.310,-4.544,-6.449,-5.949,-1.407,-0.047
4.324,22.295,-4.563,-6.471,-5.958,-1.413,-0.044
4.334,22.279,-4.582,-6.494,-5.965,-1.419,-0.042
4.344,22.264,-4.602,-6.515,-5.972,-1.425,-0.040
4.354,22.247,-4.622,-6.537,-5.977,-1.431,-0.038
4.364,22.231,-4.643,-6.557,-5.981,-1.438,-0.036
4.374,22.214,-4.665,-6.578,-5.984,-1.444,-0.034
4.384,22.196,-4.687,-6.598,-5.986,-1.450,-0.032
4.394,22.178,-4.709,-6.617,-5.987,-1.457,-0.031
4.404,22.160,-4.732,-6.636,-5.986,-1.463,-0.029
4.414,22.141,-4.756,-6.655,-5.985,-1.470,-0.027
4.424,22.121,-4.780,-6.674,-5.982,-1.477,-0.026
4.434,22.102,-4.804,-6.691,-5.979,-1.483,-0.024
4.444,22.081,-4.829,-6.709,-5.974,-1.490,-0.023
4.454,22.061,-4.855,-6.726,-5.968,-1.497,-0.022
4.464,22.039,-4.881,-6.743,-5.961,-1.504,-0.020
4.474,22.018,-4.908,-6.759,-5.952,-1.511,-0.019
